Year,Team,StarPlayer
2011,Miami Heat,LeBron James
2011,Oklahoma City Thunder,Kevin Durant
2011,Orlando Magic,Dwight Howard
2011,Chicago Bulls,Derrick Rose
2011,Los Angeles Lakers,Kobe Bryant
2011,Los Angeles Lakers,Pau Gasol
2011,Dallas Mavericks,Dirk Nowitzki
2011,New York Knicks,Amar'e Stoudemire
2011,Miami Heat,Dwyane Wade
2011,Oklahoma City Thunder,Russell Westbrook
2011,Portland Trail Blazers,LaMarcus Aldridge
2011,Menphis Grizzlies,Zach Randolph
2011,Atlanta Hawks,Al Horford
2011,San Antonio Spurs,Manu Ginobili
2011,New Orleans Pelicans,Chris Paul
2012,Miami Heat,LeBron James
2012,Oklahoma City Thunder,Kevin Durant
2012,Orlando Magic,Dwight Howard
2012,Los Angeles Clippers,Chris Paul
2012,Los Angeles Lakers,Kobe Bryant
2012,Minnesota Timberwolves,Kevin Love
2012,Los Angeles Clippers,Blake Griffin
2012,Los Angeles Lakers,Andrew Bynum
2012,San Antonio Spurs,Tony Parker
2012,Oklahoma City Thunder,Russell Westbrook
2012,New York Knicks,Carmelo Anthony
2012,Dallas Mavericks,Dirk Nowitzki
2012,New York Knicks,Tyson Chandler
2012,Miami Heat,Dwyane Wade
2012,Boston Celtics,Rajon Rondo
2013,Miami Heat,LeBron James
2013,Oklahoma City Thunder,Kevin Durant
2013,San Antonio Spurs,Tim Duncan
2013,Los Angeles Clippers,Chris Paul
2013,Los Angeles Lakers,Kobe Bryant
2013,New York Knicks,Carmelo Anthony
2013,Los Angeles Clippers,Blake Griffin
2013,Memphis Grizzlies,Marc Gasol
2013,San Antonio Spurs,Tony Parker
2013,Oklahoma City Thunder,Russell Westbrook
2013,Golden State Warriors,David Lee
2013,Miami Heat,Dwyane Wade
2013,Houston Rockets,James Harden
2013,Los Angeles Lakers,Dwight Howard
2013,Indiana Pacers,Paul George
2014,Oklahoma City Thunder,Kevin Durant
2014,Miami Heat,LeBron James
2014,Chicago Bulls,Joakim Noah
2014,Los Angeles Clippers,Chris Paul
2014,Houston Rockets,James Harden
2014,Los Angeles Clippers,Blake Griffin
2014,Golden State Warriors,Stephen Curry
2014,Houston Rockets,Dwight Howard
2014,Portland Trail Blazers,Damian Lillard
2014,Charlotte Hornets,Al Jefferson
2014,Charlotte Hornets,Al Jefferson
2014,Indiana Pacers,Paul George
2014,Phoenix Suns,Goran Dragic
2014,Portland Trail Blazers,LaMarcus Aldridge
2014,Minnesota Timberwolves,Kevin Love
2015,Golden State Warriors,Stephen Curry
2015,Houston Rockets,James Harden
2015,Cleveland Cavaliers,LeBron James
2015,New Orleans Pelicans,Anthony Davis
2015,Memphis Grizzlies,Marc Gasol
2015,Oklahoma City Thunder,Russell Westbrook
2015,Los Angeles Clippers,Chris Paul
2015,Portland Trail Blazers,LaMarcus Aldridge
2015,Sacramento Kings,DeMarcus Cousins
2015,Los Angeles Clippers,Blake Griffin
2015,Cleveland Cavaliers,Kyrie Irving
2015,Golden State Warriors,Klay Thompson
2015,San Antonio Spurs,Tim Duncan
2015,Los Angeles Clippers,DeAndre Jordan
2015,Atlanta Hawks,Paul Millsap
2016,Golden State Warriors,Stephen Curry
2016,Cleveland Cavaliers,LeBron James
2016,San Antonio Spurs,Kawhi Leonard
2016,Oklahoma City Thunder,Russell Westbrook
2016,Los Angeles Clippers,DeAndre Jordan
2016,Oklahoma City Thunder,Kevin Durant
2016,Golden State Warriors,Draymond Green
2016,Portland Trail Blazers,Damian Lillard
2016,Los Angeles Clippers,Chris Paul
2016,Sacramento Kings,DeMarcus Cousins
2016,Toronto Raptors,Kyle Lowry
2016,Golden State Warriors,Klay Thompson
2016,Indiana Pacers,Paul George
2016,San Antonio Spurs,LaMarcus Aldridge
2016,Detroit Pistons,Andre Drummond
2017,Cleveland Cavaliers,LeBron James
2017,Houston Rockets,James Harden
2017,Oklahoma City Thunder,Russell Westbrook
2017,San Antonio Spurs,Kawhi Leonard
2017,New Orleans Pelicans,Anthony Davis
2017,Golden State Warriors,Stephen Curry
2017,Golden State Warriors,Kevin Durant
2017,Milwaukee Bucks,Giannis Antetokounmpo
2017,Boston Celtics,Isaiah Thomas
2017,Utah Jazz,Rudy Gobert
2017,Toronto Raptors,DeMar DeRozan
2017,Washington Wizards,John Wall
2017,Chicago Bulls,Jimmy Butler
2017,Golden State Warriors,Draymond Green
2017,Los Angeles Clippers,DeAndre Jordan
2018,Cleveland Cavaliers,LeBron James
2018,Houston Rockets,James Harden
2018,New Orleans Pelicans,Anthony Davis
2018,Golden State Warriors,Stephen Curry
2018,Portland Trail Blazers,Damian Lillard
2018,Golden State Warriors,Kevin Durant
2018,Milwaukee Bucks,Giannis Antetokounmpo
2018,Oklahoma City Thunder,Russell Westbrook
2018,Philadelphia,Joel Embiid
2018,Toronto Raptors,DeMar DeRozan
2018,San Antonio Spurs,LaMarcus Aldridge
2018,Minnesota Timberwolves,Jimmy Butler
2018,Indiana Pacers,Victor Oladipo
2018,Minnesota Timberwolves,Karl-Anthony Towns
2018,Boston Celtics,Al Horford
2019,Milwaukee Bucks,Giannis Antetokounmpo
2019,Golden State Warriors,Stephen Curry
2019,Houston Rockets,James Harden
2019,Denver Nuggets,Nikola Jokic
2019,Oklahoma City Thunder,Paul George
2019,Golden State Warriors,Kevin Durant
2019,Portland Trail Blazers,Damian Lillard
2019,Philadelphia,Joel Embiid
2019,Boston Celtics,Kyrie Irving
2019,Toronto Raptors,Kawhi Leonard
2019,Los Angeles Lakers,LeBron James
2019,Oklahoma City Thunder,Russell Westbrook
2019,Detroit Pistons,Blake Griffin
2019,Utah Jazz,Rudy Gobert
2019,Charlotte Hornets,Kemba Walker
2020,Milwaukee Bucks,Giannis Antetokounmpo
2020,Los Angeles Lakers,LeBron James
2020,Houston Rockets,James Harden
2020,Dallas Mavericks,Luka Doncic
2020,Los Angeles Lakers,Anthony Davis
2020,Los Angeles Clippers,Kawhi Leonard
2020,Denver Nuggets,Nikola Jokic
2020,Portland Trail Blazers,Damian Lillard
2020,Oklahoma City Thunder,Chris Paul
2020,Toronto Raptors,Pascal Siakam
2020,Philadelphia,Ben Simmons
2020,Boston Celtics,Jayson Tatum
2020,Miami Heat,Jimmy Butler
2020,Utah Jazz,Rudy Gobert
2020,Houston Rockets,Russell Westbrook
2021,Denver Nuggets,Nikola Jokic
2021,Milwaukee Bucks,Giannis Antetokounmpo
2021,Golden State Warriors,Stephen Curry
2021,Dallas Mavericks,Luka Doncic
2021,Los Angeles Clippers,Kawhi Leonard
2021,Philadelphia,Joel Embiid
2021,Portland Trail Blazers,Damian Lillard
2021,Los Angeles Lakers,LeBron James
2021,Phoenix Suns,Chris Paul
2021,New York Knicks,Julius Randle
2021,Utah Jazz,Rudy Gobert
2021,Miami Heat,Jimmy Butler
2021,Washington Wizards,Bradley Beal
2021,Brooklyn Nets,Kyrie Irving
2021,Boston Celtics,Jayson Tatum
2022,Denver Nuggets,Nikola Jokic
2022,Milwaukee Bucks,Giannis Antetokounmpo
2022,Dallas Mavericks,Luka Doncic
2022,Phoenix Suns,Devin Booker
2022,Boston Celtics,Jayson Tatum
2022,Philadelphia,Joel Embiid
2022,Memphis Grizzlies,Ja Morant
2022,Brooklyn Nets,Kevin Durant
2022,Golden State Warriors,Stephen Curry
2022,Chicago Bulls,DeMar DeRozan
2022,Los Angeles Lakers,LeBron James
2022,Minnesota Timberwolves,Karl-Anthony Towns
2022,Phoenix Suns,Chris Paul
2022,Atlanta Hawks,Trae Young
2022,Toronto Raptors,Pascal Siakam
2023,Denver Nuggets,Nikola Jokic
2023,Milwaukee Bucks,Giannis Antetokounmpo
2023,Philadelphia,Joel Embiid
2023,Dallas Mavericks,Luka Doncic
2023,Oklahoma City Thunder,Shai Gilgeous-Alexander
2023,Boston Celtics,Jayson Tatum
2023,Miami Heat,Jimmy Butler
2023,Golden State Warriors,Stephen Curry
2023,Cleveland Cavaliers,Donovan Mitchell
2023,Boston Celtics,Jaylen Brown
2023,Los Angeles Lakers,LeBron James
2023,Sacramento Kings,De'Aaron Fox
2023,Portland Trail Blazers,Damian Lillard
2023,New York Knicks,Julius Randle
2023,Sacramento Kings,Domantas Sabonis
2024,Denver Nuggets,Nikola Jokic
2024,Oklahoma City Thunder,Shai Gilgeous-Alexander
2024,Dallas Mavericks,Luka Doncic
2024,Milwaukee Bucks,Giannis Antetokounmpo
2024,Boston Celtics,Jayson Tatum
2024,New York Knicks,Jalen Brunson
2024,Minnesota Timberwolves,Anthony Edwards
2024,Phoenix Suns,Kevin Durant
2024,Los Angeles Clippers,Kawhi Leonard
2024,Los Angeles Lakers,Anthony Davis
2024,Golden State Warriors,Stephen Curry
2024,Los Angeles Lakers,LeBron James
2024,Sacramento Kings,Domantas Sabonis
2024,Indiana Pacers,Tyrese Haliburton
2024,Phoenix Suns,Devin Booker
2025,Milwaukee Bucks,Giannis Antetokounmpo
2025,Oklahoma City Thunder,Shai Gilgeous-Alexander
2025,Denver Nuggets,Nikola JokiÄ‡
2025,Cleveland Cavaliers,Donovan Mitchell
2025,Boston Celtics,Jayson Tatum
2025,New York Knicks,Jalen Brunson
2025,Golden State Warriors,Stephen Curry
2025,Minnesota Timberwolves,Anthony Edwards
2025,Los Angeles Lakers,LeBron James
2025,Cleveland Cavaliers,Evan Mobley
2025,Detroit Pistons,Cade Cunningham
2025,Indiana Pacers,Tyrese Haliburton
2025,Los Angeles Clippers,James Harden
2025,New York Knicks,Karl-Anthony Towns
2025,Oklahoma City Thunder,Jalen Williams
