Year,Team,Valuation
2025,Atlanta Hawks,"3,800,000,000"
2024,Atlanta Hawks,"3,330,000,000"
2023,Atlanta Hawks,"1,975,000,000"
2022,Atlanta Hawks,"1,680,000,000"
2021,Atlanta Hawks,"1,520,000,000"
2020,Atlanta Hawks,"1,520,000,000"
2019,Atlanta Hawks,"1,300,000,000"
2018,Atlanta Hawks,"1,150,000,000"
2017,Atlanta Hawks,"885,000,000"
2016,Atlanta Hawks,"825,000,000"
2015,Atlanta Hawks,"825,000,000"
2014,Atlanta Hawks,"420,000,000"
2013,Atlanta Hawks,"316,000,000"
2012,Atlanta Hawks,"270,000,000"
2011,Atlanta Hawks,"295,000,000"
2025,Boston Celtics,"6,000,000,000"
2024,Boston Celtics,"4,700,000,000"
2023,Boston Celtics,"4,000,000,000"
2022,Boston Celtics,"3,550,000,000"
2021,Boston Celtics,"3,600,000,000"
2020,Boston Celtics,"3,100,000,000"
2019,Boston Celtics,"2,800,000,000"
2018,Boston Celtics,"2,500,000,000"
2017,Boston Celtics,"2,200,000,000"
2016,Boston Celtics,"2,100,000,000"
2015,Boston Celtics,"1,700,000,000"
2014,Boston Celtics,"875,000,000"
2013,Boston Celtics,"730,000,000"
2012,Boston Celtics,"482,000,000"
2011,Boston Celtics,"452,000,000"
2025,Brooklyn Nets,"4,800,000,000"
2024,Brooklyn Nets,"3,850,000,000"
2023,Brooklyn Nets,"3,500,000,000"
2022,Brooklyn Nets,"3,200,000,000"
2021,Brooklyn Nets,"2,650,000,000"
2020,Brooklyn Nets,"2,500,000,000"
2019,Brooklyn Nets,"2,350,000,000"
2018,Brooklyn Nets,"2,300,000,000"
2017,Brooklyn Nets,"1,800,000,000"
2016,Brooklyn Nets,"1,700,000,000"
2015,Brooklyn Nets,"1,500,000,000"
2014,Brooklyn Nets,"780,000,000"
2013,Brooklyn Nets,"530,000,000"
2012,Brooklyn Nets,"357,000,000"
2011,Brooklyn Nets,"312,000,000"
2025,Charlotte Hornets,"3,300,000,000"
2024,Charlotte Hornets,"3,000,000,000"
2023,Charlotte Hornets,"1,700,000,000"
2022,Charlotte Hornets,"1,575,000,000"
2021,Charlotte Hornets,"1,500,000,000"
2020,Charlotte Hornets,"1,500,000,000"
2019,Charlotte Hornets,"1,250,000,000"
2018,Charlotte Hornets,"1,050,000,000"
2017,Charlotte Hornets,"780,000,000"
2016,Charlotte Hornets,"750,000,000"
2015,Charlotte Hornets,"725,000,000"
2014,Charlotte Hornets,"410,000,000"
2013,Charlotte Hornets,"315,000,000"
2012,Charlotte Hornets,"277,000,000"
2011,Charlotte Hornets,"281,000,000"
2025,Chicago Bulls,"5,000,000,000"
2024,Chicago Bulls,"4,600,000,000"
2023,Chicago Bulls,"4,100,000,000"
2022,Chicago Bulls,"3,650,000,000"
2021,Chicago Bulls,"3,700,000,000"
2020,Chicago Bulls,"3,200,000,000"
2019,Chicago Bulls,"2,900,000,000"
2018,Chicago Bulls,"2,600,000,000"
2017,Chicago Bulls,"2,500,000,000"
2016,Chicago Bulls,"2,300,000,000"
2015,Chicago Bulls,"2,000,000,000"
2014,Chicago Bulls,"1,000,000,000"
2013,Chicago Bulls,"800,000,000"
2012,Chicago Bulls,"600,000,000"
2011,Chicago Bulls,"511,000,000"
2025,Cleveland Cavaliers,"3,950,000,000"
2024,Cleveland Cavaliers,"3,350,000,000"
2023,Cleveland Cavaliers,"2,050,000,000"
2022,Cleveland Cavaliers,"1,650,000,000"
2021,Cleveland Cavaliers,"1,560,000,000"
2020,Cleveland Cavaliers,"1,510,000,000"
2019,Cleveland Cavaliers,"1,275,000,000"
2018,Cleveland Cavaliers,"1,325,000,000"
2017,Cleveland Cavaliers,"1,200,000,000"
2016,Cleveland Cavaliers,"1,100,000,000"
2015,Cleveland Cavaliers,"915,000,000"
2014,Cleveland Cavaliers,"515,000,000"
2013,Cleveland Cavaliers,"434,000,000"
2012,Cleveland Cavaliers,"329,000,000"
2011,Cleveland Cavaliers,"355,000,000"
2025,Dallas Mavericks,"4,700,000,000"
2024,Dallas Mavericks,"4,500,000,000"
2023,Dallas Mavericks,"3,300,000,000"
2022,Dallas Mavericks,"2,700,000,000"
2021,Dallas Mavericks,"2,450,000,000"
2020,Dallas Mavericks,"2,400,000,000"
2019,Dallas Mavericks,"2,250,000,000"
2018,Dallas Mavericks,"1,900,000,000"
2017,Dallas Mavericks,"1,450,000,000"
2016,Dallas Mavericks,"1,400,000,000"
2015,Dallas Mavericks,"1,150,000,000"
2014,Dallas Mavericks,"765,000,000"
2013,Dallas Mavericks,"685,000,000"
2012,Dallas Mavericks,"497,000,000"
2011,Dallas Mavericks,"438,000,000"
2025,Denver Nuggets,"3,900,000,000"
2024,Denver Nuggets,"3,380,000,000"
2023,Denver Nuggets,"1,930,000,000"
2022,Denver Nuggets,"1,730,000,000"
2021,Denver Nuggets,"1,650,000,000"
2020,Denver Nuggets,"1,600,000,000"
2019,Denver Nuggets,"1,375,000,000"
2018,Denver Nuggets,"1,125,000,000"
2017,Denver Nuggets,"890,000,000"
2016,Denver Nuggets,"855,000,000"
2015,Denver Nuggets,"855,000,000"
2014,Denver Nuggets,"495,000,000"
2013,Denver Nuggets,"427,000,000"
2012,Denver Nuggets,"316,000,000"
2011,Denver Nuggets,"316,000,000"
2025,Detroit Pistons,"3,400,000,000"
2024,Detroit Pistons,"3,080,000,000"
2023,Detroit Pistons,"1,900,000,000"
2022,Detroit Pistons,"1,580,000,000"
2021,Detroit Pistons,"1,450,000,000"
2020,Detroit Pistons,"1,450,000,000"
2019,Detroit Pistons,"1,270,000,000"
2018,Detroit Pistons,"1,100,000,000"
2017,Detroit Pistons,"900,000,000"
2016,Detroit Pistons,"850,000,000"
2015,Detroit Pistons,"810,000,000"
2014,Detroit Pistons,"450,000,000"
2013,Detroit Pistons,"400,000,000"
2012,Detroit Pistons,"332,000,000"
2011,Detroit Pistons,"360,000,000"
2025,Golden State Warriors,"8,800,000,000"
2024,Golden State Warriors,"7,700,000,000"
2023,Golden State Warriors,"7,000,000,000"
2022,Golden State Warriors,"5,600,000,000"
2021,Golden State Warriors,"4,700,000,000"
2020,Golden State Warriors,"4,300,000,000"
2019,Golden State Warriors,"3,500,000,000"
2018,Golden State Warriors,"3,100,000,000"
2017,Golden State Warriors,"2,600,000,000"
2016,Golden State Warriors,"1,900,000,000"
2015,Golden State Warriors,"1,300,000,000"
2014,Golden State Warriors,"750,000,000"
2013,Golden State Warriors,"555,000,000"
2012,Golden State Warriors,"450,000,000"
2011,Golden State Warriors,"363,000,000"
2025,Houston Rockets,"4,900,000,000"
2024,Houston Rockets,"4,400,000,000"
2023,Houston Rockets,"3,200,000,000"
2022,Houston Rockets,"2,750,000,000"
2021,Houston Rockets,"2,500,000,000"
2020,Houston Rockets,"2,475,000,000"
2019,Houston Rockets,"2,300,000,000"
2018,Houston Rockets,"2,200,000,000"
2017,Houston Rockets,"1,650,000,000"
2016,Houston Rockets,"1,500,000,000"
2015,Houston Rockets,"1,250,000,000"
2014,Houston Rockets,"775,000,000"
2013,Houston Rockets,"568,000,000"
2012,Houston Rockets,"453,000,000"
2011,Houston Rockets,"443,000,000"
2025,Indiana Pacers,"3,600,000,000"
2024,Indiana Pacers,"2,900,000,000"
2023,Indiana Pacers,"1,800,000,000"
2022,Indiana Pacers,"1,670,000,000"
2021,Indiana Pacers,"1,550,000,000"
2020,Indiana Pacers,"1,525,000,000"
2019,Indiana Pacers,"1,400,000,000"
2018,Indiana Pacers,"1,175,000,000"
2017,Indiana Pacers,"880,000,000"
2016,Indiana Pacers,"840,000,000"
2015,Indiana Pacers,"830,000,000"
2014,Indiana Pacers,"475,000,000"
2013,Indiana Pacers,"383,000,000"
2012,Indiana Pacers,"283,000,000"
2011,Indiana Pacers,"269,000,000"
2025,Los Angeles Clippers,"5,500,000,000"
2024,Los Angeles Clippers,"4,650,000,000"
2023,Los Angeles Clippers,"3,900,000,000"
2022,Los Angeles Clippers,"3,300,000,000"
2021,Los Angeles Clippers,"2,750,000,000"
2020,Los Angeles Clippers,"2,600,000,000"
2019,Los Angeles Clippers,"2,200,000,000"
2018,Los Angeles Clippers,"2,150,000,000"
2017,Los Angeles Clippers,"2,000,000,000"
2016,Los Angeles Clippers,"2,000,000,000"
2015,Los Angeles Clippers,"1,600,000,000"
2014,Los Angeles Clippers,"575,000,000"
2013,Los Angeles Clippers,"430,000,000"
2012,Los Angeles Clippers,"324,000,000"
2011,Los Angeles Clippers,"305,000,000"
2025,Los Angeles Lakers,"7,100,000,000"
2024,Los Angeles Lakers,"6,400,000,000"
2023,Los Angeles Lakers,"5,900,000,000"
2022,Los Angeles Lakers,"5,500,000,000"
2021,Los Angeles Lakers,"4,600,000,000"
2020,Los Angeles Lakers,"4,400,000,000"
2019,Los Angeles Lakers,"3,700,000,000"
2018,Los Angeles Lakers,"3,300,000,000"
2017,Los Angeles Lakers,"3,000,000,000"
2016,Los Angeles Lakers,"2,700,000,000"
2015,Los Angeles Lakers,"2,600,000,000"
2014,Los Angeles Lakers,"1,350,000,000"
2013,Los Angeles Lakers,"1,000,000,000"
2012,Los Angeles Lakers,"900,000,000"
2011,Los Angeles Lakers,"643,000,000"
2025,Memphis Grizzlies,"3,000,000,000"
2024,Memphis Grizzlies,"2,400,000,000"
2023,Memphis Grizzlies,"1,650,000,000"
2022,Memphis Grizzlies,"1,500,000,000"
2021,Memphis Grizzlies,"1,300,000,000"
2020,Memphis Grizzlies,"1,300,000,000"
2019,Memphis Grizzlies,"1,200,000,000"
2018,Memphis Grizzlies,"1,025,000,000"
2017,Memphis Grizzlies,"790,000,000"
2016,Memphis Grizzlies,"780,000,000"
2015,Memphis Grizzlies,"750,000,000"
2014,Memphis Grizzlies,"453,000,000"
2013,Memphis Grizzlies,"377,000,000"
2012,Memphis Grizzlies,"269,000,000"
2011,Memphis Grizzlies,"266,000,000"
2025,Miami Heat,"4,250,000,000"
2024,Miami Heat,"3,900,000,000"
2023,Miami Heat,"3,000,000,000"
2022,Miami Heat,"2,300,000,000"
2021,Miami Heat,"2,000,000,000"
2020,Miami Heat,"1,950,000,000"
2019,Miami Heat,"1,750,000,000"
2018,Miami Heat,"1,700,000,000"
2017,Miami Heat,"1,350,000,000"
2016,Miami Heat,"1,300,000,000"
2015,Miami Heat,"1,175,000,000"
2014,Miami Heat,"770,000,000"
2013,Miami Heat,"625,000,000"
2012,Miami Heat,"457,000,000"
2011,Miami Heat,"425,000,000"
2025,Milwaukee Bucks,"4,000,000,000"
2024,Milwaukee Bucks,"3,200,000,000"
2023,Milwaukee Bucks,"2,300,000,000"
2022,Milwaukee Bucks,"1,900,000,000"
2021,Milwaukee Bucks,"1,625,000,000"
2020,Milwaukee Bucks,"1,580,000,000"
2019,Milwaukee Bucks,"1,350,000,000"
2018,Milwaukee Bucks,"1,075,000,000"
2017,Milwaukee Bucks,"785,000,000"
2016,Milwaukee Bucks,"675,000,000"
2015,Milwaukee Bucks,"600,000,000"
2014,Milwaukee Bucks,"405,000,000"
2013,Milwaukee Bucks,"312,000,000"
2012,Milwaukee Bucks,"268,000,000"
2011,Milwaukee Bucks,"258,000,000"
2025,Minnesota Timberwolves,"3,100,000,000"
2024,Minnesota Timberwolves,"2,500,000,000"
2023,Minnesota Timberwolves,"1,670,000,000"
2022,Minnesota Timberwolves,"1,550,000,000"
2021,Minnesota Timberwolves,"1,400,000,000"
2020,Minnesota Timberwolves,"1,375,000,000"
2019,Minnesota Timberwolves,"1,260,000,000"
2018,Minnesota Timberwolves,"1,060,000,000"
2017,Minnesota Timberwolves,"770,000,000"
2016,Minnesota Timberwolves,"720,000,000"
2015,Minnesota Timberwolves,"625,000,000"
2014,Minnesota Timberwolves,"430,000,000"
2013,Minnesota Timberwolves,"364,000,000"
2012,Minnesota Timberwolves,"272,000,000"
2011,Minnesota Timberwolves,"264,000,000"
2025,New Orleans Pelicans,"3,050,000,000"
2024,New Orleans Pelicans,"2,550,000,000"
2023,New Orleans Pelicans,"1,600,000,000"
2022,New Orleans Pelicans,"1,530,000,000"
2021,New Orleans Pelicans,"1,350,000,000"
2020,New Orleans Pelicans,"1,350,000,000"
2019,New Orleans Pelicans,"1,220,000,000"
2018,New Orleans Pelicans,"1,000,000,000"
2017,New Orleans Pelicans,"750,000,000"
2016,New Orleans Pelicans,"650,000,000"
2015,New Orleans Pelicans,"650,000,000"
2014,New Orleans Pelicans,"420,000,000"
2013,New Orleans Pelicans,"340,000,000"
2012,New Orleans Pelicans,"285,000,000"
2011,New Orleans Pelicans,"280,000,000"
2025,New York Knicks,"7,500,000,000"
2024,New York Knicks,"6,600,000,000"
2023,New York Knicks,"6,100,000,000"
2022,New York Knicks,"5,800,000,000"
2021,New York Knicks,"5,000,000,000"
2020,New York Knicks,"4,600,000,000"
2019,New York Knicks,"4,000,000,000"
2018,New York Knicks,"3,600,000,000"
2017,New York Knicks,"3,300,000,000"
2016,New York Knicks,"3,000,000,000"
2015,New York Knicks,"2,500,000,000"
2014,New York Knicks,"1,400,000,000"
2013,New York Knicks,"1,100,000,000"
2012,New York Knicks,"780,000,000"
2011,New York Knicks,"655,000,000"
2025,Oklahoma City Thunder,"3,650,000,000"
2024,Oklahoma City Thunder,"3,050,000,000"
2023,Oklahoma City Thunder,"1,875,000,000"
2022,Oklahoma City Thunder,"1,630,000,000"
2021,Oklahoma City Thunder,"1,575,000,000"
2020,Oklahoma City Thunder,"1,575,000,000"
2019,Oklahoma City Thunder,"1,475,000,000"
2018,Oklahoma City Thunder,"1,250,000,000"
2017,Oklahoma City Thunder,"1,025,000,000"
2016,Oklahoma City Thunder,"950,000,000"
2015,Oklahoma City Thunder,"930,000,000"
2014,Oklahoma City Thunder,"590,000,000"
2013,Oklahoma City Thunder,"475,000,000"
2012,Oklahoma City Thunder,"348,000,000"
2011,Oklahoma City Thunder,"329,000,000"
2025,Orlando Magic,"3,200,000,000"
2024,Orlando Magic,"2,950,000,000"
2023,Orlando Magic,"1,850,000,000"
2022,Orlando Magic,"1,640,000,000"
2021,Orlando Magic,"1,460,000,000"
2020,Orlando Magic,"1,430,000,000"
2019,Orlando Magic,"1,325,000,000"
2018,Orlando Magic,"1,225,000,000"
2017,Orlando Magic,"920,000,000"
2016,Orlando Magic,"900,000,000"
2015,Orlando Magic,"875,000,000"
2014,Orlando Magic,"560,000,000"
2013,Orlando Magic,"470,000,000"
2012,Orlando Magic,"385,000,000"
2011,Orlando Magic,"385,000,000"
2025,Philadelphia 76ers,"4,600,000,000"
2024,Philadelphia 76ers,"4,300,000,000"
2023,Philadelphia 76ers,"3,150,000,000"
2022,Philadelphia 76ers,"2,450,000,000"
2021,Philadelphia 76ers,"2,075,000,000"
2020,Philadelphia 76ers,"2,000,000,000"
2019,Philadelphia 76ers,"1,650,000,000"
2018,Philadelphia 76ers,"1,180,000,000"
2017,Philadelphia 76ers,"800,000,000"
2016,Philadelphia 76ers,"700,000,000"
2015,Philadelphia 76ers,"700,000,000"
2014,Philadelphia 76ers,"469,000,000"
2013,Philadelphia 76ers,"418,000,000"
2012,Philadelphia 76ers,"314,000,000"
2011,Philadelphia 76ers,"330,000,000"
2025,Phoenix Suns,"4,300,000,000"
2024,Phoenix Suns,"4,000,000,000"
2023,Phoenix Suns,"2,700,000,000"
2022,Phoenix Suns,"1,800,000,000"
2021,Phoenix Suns,"1,700,000,000"
2020,Phoenix Suns,"1,625,000,000"
2019,Phoenix Suns,"1,500,000,000"
2018,Phoenix Suns,"1,280,000,000"
2017,Phoenix Suns,"1,100,000,000"
2016,Phoenix Suns,"1,000,000,000"
2015,Phoenix Suns,"910,000,000"
2014,Phoenix Suns,"565,000,000"
2013,Phoenix Suns,"474,000,000"
2012,Phoenix Suns,"395,000,000"
2011,Phoenix Suns,"411,000,000"
2025,Portland Trail Blazers,"3,500,000,000"
2024,Portland Trail Blazers,"3,080,000,000"
2023,Portland Trail Blazers,"2,100,000,000"
2022,Portland Trail Blazers,"2,050,000,000"
2021,Portland Trail Blazers,"1,900,000,000"
2020,Portland Trail Blazers,"1,850,000,000"
2019,Portland Trail Blazers,"1,600,000,000"
2018,Portland Trail Blazers,"1,300,000,000"
2017,Portland Trail Blazers,"1,050,000,000"
2016,Portland Trail Blazers,"975,000,000"
2015,Portland Trail Blazers,"940,000,000"
2014,Portland Trail Blazers,"587,000,000"
2013,Portland Trail Blazers,"457,000,000"
2012,Portland Trail Blazers,"370,000,000"
2011,Portland Trail Blazers,"356,000,000"
2025,Sacramento Kings,"3,700,000,000"
2024,Sacramento Kings,"3,330,000,000"
2023,Sacramento Kings,"2,030,000,000"
2022,Sacramento Kings,"2,000,000,000"
2021,Sacramento Kings,"1,825,000,000"
2020,Sacramento Kings,"1,775,000,000"
2019,Sacramento Kings,"1,575,000,000"
2018,Sacramento Kings,"1,375,000,000"
2017,Sacramento Kings,"1,075,000,000"
2016,Sacramento Kings,"925,000,000"
2015,Sacramento Kings,"800,000,000"
2014,Sacramento Kings,"550,000,000"
2013,Sacramento Kings,"527,000,000"
2012,Sacramento Kings,"300,000,000"
2011,Sacramento Kings,"293,000,000"
2025,San Antonio Spurs,"3,850,000,000"
2024,San Antonio Spurs,"3,250,000,000"
2023,San Antonio Spurs,"2,000,000,000"
2022,San Antonio Spurs,"1,980,000,000"
2021,San Antonio Spurs,"1,850,000,000"
2020,San Antonio Spurs,"1,800,000,000"
2019,San Antonio Spurs,"1,625,000,000"
2018,San Antonio Spurs,"1,550,000,000"
2017,San Antonio Spurs,"1,175,000,000"
2016,San Antonio Spurs,"1,150,000,000"
2015,San Antonio Spurs,"1,000,000,000"
2014,San Antonio Spurs,"660,000,000"
2013,San Antonio Spurs,"527,000,000"
2012,San Antonio Spurs,"418,000,000"
2011,San Antonio Spurs,"404,000,000"
2025,Toronto Raptors,"4,400,000,000"
2024,Toronto Raptors,"4,100,000,000"
2023,Toronto Raptors,"3,100,000,000"
2022,Toronto Raptors,"2,480,000,000"
2021,Toronto Raptors,"2,150,000,000"
2020,Toronto Raptors,"2,100,000,000"
2019,Toronto Raptors,"1,675,000,000"
2018,Toronto Raptors,"1,400,000,000"
2017,Toronto Raptors,"1,125,000,000"
2016,Toronto Raptors,"980,000,000"
2015,Toronto Raptors,"920,000,000"
2014,Toronto Raptors,"520,000,000"
2013,Toronto Raptors,"405,000,000"
2012,Toronto Raptors,"382,000,000"
2011,Toronto Raptors,"399,000,000"
2025,Utah Jazz,"3,550,000,000"
2024,Utah Jazz,"3,090,000,000"
2023,Utah Jazz,"2,025,000,000"
2022,Utah Jazz,"1,750,000,000"
2021,Utah Jazz,"1,660,000,000"
2020,Utah Jazz,"1,550,000,000"
2019,Utah Jazz,"1,425,000,000"
2018,Utah Jazz,"1,200,000,000"
2017,Utah Jazz,"910,000,000"
2016,Utah Jazz,"875,000,000"
2015,Utah Jazz,"850,000,000"
2014,Utah Jazz,"525,000,000"
2013,Utah Jazz,"432,000,000"
2012,Utah Jazz,"335,000,000"
2011,Utah Jazz,"343,000,000"
2025,Washington Wizards,"4,100,000,000"
2024,Washington Wizards,"3,500,000,000"
2023,Washington Wizards,"2,500,000,000"
2022,Washington Wizards,"1,930,000,000"
2021,Washington Wizards,"1,800,000,000"
2020,Washington Wizards,"1,750,000,000"
2019,Washington Wizards,"1,550,000,000"
2018,Washington Wizards,"1,350,000,000"
2017,Washington Wizards,"1,000,000,000"
2016,Washington Wizards,"960,000,000"
2015,Washington Wizards,"900,000,000"
2014,Washington Wizards,"485,000,000"
2013,Washington Wizards,"397,000,000"
2012,Washington Wizards,"328,000,000"
2011,Washington Wizards,"322,000,000"
2025,LeagueAverage,"4,416,666,667"
2024,LeagueAverage,"3,854,666,667"
2023,LeagueAverage,"2,863,500,000"
2022,LeagueAverage,"2,480,833,333"
2021,LeagueAverage,"2,228,333,333"
2020,LeagueAverage,"2,123,000,000"
2019,LeagueAverage,"1,868,333,333"
2018,LeagueAverage,"1,651,500,000"
2017,LeagueAverage,"1,355,333,333"
2016,LeagueAverage,"1,245,333,333"
2015,LeagueAverage,"1,106,166,667"
2014,LeagueAverage,"634,133,333"
2013,LeagueAverage,"509,100,000"
2012,LeagueAverage,"392,533,333"
2011,LeagueAverage,"368,766,667"
